Model,Confidence_Threshold,Reviewed_Events,Reviewed_Fraction,Captured_Errors,Error_Capture_Rate,Error_Rate_Among_Reviewed,Error_Enrichment,Retained_Events,Retained_Accuracy
Decision Tree,0.7,10,0.000125,6,0.024,0.6,191.99999999999997,79990,0.9969496187023378
Decision Tree,0.8,33,0.0004125,20,0.08,0.6060606060606061,193.93939393939394,79967,0.9971238135730989
Decision Tree,0.9,33,0.0004125,20,0.08,0.6060606060606061,193.93939393939394,79967,0.9971238135730989
Decision Tree,0.95,40,0.0005,23,0.092,0.575,183.99999999999997,79960,0.9971610805402701
Decision Tree,0.99,63,0.0007875,26,0.104,0.4126984126984127,132.06349206349205,79937,0.9971977932621939
Random Forest,0.7,629,0.0078625,247,0.6465968586387435,0.39268680445151033,82.2380742306828,79371,0.9982991268851343
Random Forest,0.8,965,0.0120625,295,0.7722513089005235,0.30569948186528495,64.020833898489,79035,0.9988992218637313
Random Forest,0.9,2115,0.0264375,326,0.8534031413612565,0.1541371158392435,32.28002425952744,77885,0.9992809912049817
Random Forest,0.95,4264,0.0533,341,0.8926701570680629,0.0799718574108818,16.748032965629697,75736,0.9994586458223302
Random Forest,0.99,7979,0.0997375,350,0.9162303664921466,0.04386514600827171,9.1864180122035,72021,0.9995556851473876
